Type of Contact,TypeofOrganization,Subtype,Name of Organization,City,Province,Office or Location or Program,Alternate or Previous Name,Mailing Address,Physical Address,Directions to Address,Postal Code,Phone 1,Phone 1 Ext,Phone 2,Toll Free 1,Toll Free 1 Ext,Fax 1,Fax 2,Email 1,Email 2,Website 1,Website 2,Affiliations,Pronunciation,Region,Region Number,INAC #
Services and Agencies,Housing Services,,Cowichan Tribes,Duncan,BC,Sustainable Housing Department,,5742 Allenby Rd.,,,V9L 5J1,250-715-3302,,,,,250-715-3304,,housing@cowichantribes.com,,www.cowichantribes.com,,Cowichan Tribes,cow-i-chin,Vancouver Island/Coast,2,
Services and Agencies,Legal Services,Restorative Justice,Cowichan Tribes,Duncan,BC,Quwutsun Mustimuhw Restorative Justice Program,,5760 Allenby Rd.,,,V9L 5J1,250-748-3196,,,,,250-746-3633,,calvin.swustus@cowichantribes.com,,www.cowichantribes.com,,"Quw'utsun Syuw’entst Lelum' Culture and Education Centre, Lalum'utul' Smun'eem Child and Family Services, Ts'ewulhtun Health Centre, Cowichan Tribes Sustainable Housing Department",,Vancouver Island/Coast,2,
Métis,Métis Nation British Columbia and Chartered Communities,,Cowichan Valley Métis Nation,Duncan,BC,Vancouver Island,,2 - 60 Queens Rd.,,,V9L 2W4,250-746-6146,,,1-800-940-1150,,250-597-4766,,cvmn@shaw.ca,reception@mnbc.ca,,,Metis Nation British Columbia,may-tee,Vancouver Island/Coast,2,
Services and Agencies,Education,,Crown-Indigenous Relations Canada (CIRC),Vancouver,BC,BC Region,"Formerly INAC, AANDC",600 - 1138 Melville St.,,,V6E 4S3,604-775-5100,,604-775-7114,1-800-665-9320,,604-775-7149,866-817-3977,aadnc.infopubs.aandc@canada.ca,,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,,,,Mainland/Southwest,3,
Services and Agencies,Treatment and Healing Services,Residential,Cwenengitel Aboriginal Society,Surrey,BC,,,13630 110A Ave.,,,V3R 2B1,604-588-5910,,,,,,,cwenabso@shaw.ca,,,,,kwa-nin-cha-tul,Mainland/Southwest,3,
Services and Agencies,Housing Services,,Dakelh & Quesnel Community Housing Society,Quesnel,BC,,,100 - 744 Front St.,,,V2J 2L1,250-992-3306,,,,,250-992-3316,,dqchs@shaw.ca,,,,"BC Housing Corporation, Aboriginal Housing Management Association",,Cariboo,6,
Services and Agencies,Business and Economic Development,,Dana Naye Ventures,Whitehorse,YT,,,409 Black St.,,,Y1A 2N2,867-668-6925,,,1-800-661-0448,,867-668-3127,,dnv@dananaye.com,,www.dananaye.yk.net,,,da-na-nay,North Coast,7,
First Nations,First Nation Communities,,Da'naxda'xw First Nation,Alert Bay,BC,,Tanakteuk Indian Band,PO Box 330,,,V0N 1A0,250-974-2703,,,,,250-974-2706,,info@danaxdaxw.com,,www.danaxdaxw.com,,Kwakiutl District Council,daw-naw-dawk revised to da-naw-dawh,Vancouver Island/Coast,2,635
Services and Agencies,Arts and Culture,,Dancers of Damelahamid Society,West Vancouver,BC,,,200 - 100 Park Royal South,,,V7T 1A2,604-922-5277,,,,,,,info@damelahamid.ca,,www.damelahamid.ca,,,,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,Dawson Creek Aboriginal Family Resources Society,Dawson Creek,BC,,,14-1405 102 Ave.,,,V1G 2E1,250-782-1169,,,1-866-782-1169,,250-782-2644,,general@aboriginalfs.net,,,,South Peace Aboriginal Council Child and Family Services Society,,Northeast,9,
Services and Agencies,Housing Services,,Dawson Creek Native Housing Society,Dawson Creek,BC,,,10425 10th St.,,,V1G 3T8,250-782-1451,,250-782-1598,,,250-782-1650,,,,,,,,Northeast,9,
First Nations,First Nation Communities,,Daylu Dena Council,Lower Post,BC,,Lower Post First Nation,PO Box 10,Building 29,,V0C 1W0,250-779-3161,,,,,250-779-3371,,,,,,"Kaska Tribal Council, Kaska Dena Council",day-lou den-a,North Coast,7,
Services and Agencies,Legal Services,Restorative Justice,Daylu Dena Council,Lower Post,BC,,Lower Post First Nation,PO Box 10,Building 29,,V0C 1W0,250-779-3161,,,,,250-779-3371,,justice@dayludenacouncil.com,,,,"Kaska Tribal Council, Kaska Dena Council",day-lou den-a,North Coast,7,
First Nations,First Nation Communities,,Dease River First Nation,Good Hope Lake,BC,,,PO Box 79,,Between Watson Lake and Dease Lake,V0C 2Z0,250-239-3000,,,,,250-239-3003,,,,,,Kaska Tribal Council,,North Coast,7,
Previous Name,First Nation Communities,,Dene Tsaa Tse K'Nai First Nation,Fort Nelson,BC,,see Prophet River First Nation,,,,,,,,,,,,,,,,,den-a zaa-zay ka-nai revised to de-ne tsah tsay k-nai,Unassigned,1,
Services and Agencies,Child and Family Services Agencies,First Nations Child and Family Services Agencies,Denisiqi Services Society,Williams Lake,BC,,,240 B North Mackenzie Ave.,,,V2G 1N6,250-392-6500,,,1-877-251-6566,,250-392-6501,250-392-6510,administration@denisiqi.org,,www.denisiqi.org,,"Tl’etinqox (Anaham) Government Office, Yunesit’in (Stone) Government Office, Xeni Gwet’in (Nemiah)First Nations Government, Tl’esqox (Toosey) Band, and Ulkatcho First Nations ",den-ne-se-kai,Cariboo,6,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Denisiqi Services Society,Williams Lake,BC,,,240 B North Mackenzie Ave.,,,V2G 1N6,250-392-6500,,,1-877-251-6566,,250-392-6501,250-392-6510,administration@denisiqi.org,,www.denisiqi.org,,"Tl’etinqox (Anaham) Government Office, Yunesit’in (Stone) Government Office, Xeni Gwet’in (Nemiah)First Nations Government, Tl’esqox (Toosey) Band, and Ulkatcho First Nations ",den-ne-se-kai,Cariboo,6,
Services and Agencies,Family and Youth Services,,Denisiqi Services Society,Williams Lake,BC,,,240 B North Mackenzie Ave.,,,V2G 1N6,250-392-6500,,,1-877-251-6566,,250-392-6501,250-392-6510,administration@denisiqi.org,,www.denisiqi.org,,"Tl’etinqox (Anaham) Government Office, Yunesit’in (Stone) Government Office, Xeni Gwet’in (Nemiah)First Nations Government, Tl’esqox (Toosey) Band, and Ulkatcho First Nations ",den-ne-se-kai,Cariboo,6,
First Nations,First Nation Communities,,Ditidaht First Nation,Port Alberni,BC,,Nitinaht First Nation,PO Box 340,"NTC Office, 5001 Mission Rd., V9Y 7M8",,V9Y 7M8,250-745-3333,,,1-888-745-3366,,250-745-3332,,admin@ditidaht.ca,,https://www.nitinaht.com/,,Nuu-chah-nulth Tribal Council,dee-tee-dot,Vancouver Island/Coast,2,662
First Nations,First Nation Communities,,Doig River First Nation,Rose Prairie,BC,,,PO Box 56,,,V0C 2H0,250-827-3776,,,1-888-344-9997,,250-827-3778,,,,,,Treaty 8 Tribal Association,,Northeast,9,548
Previous Name,First Nation Communities,,Douglas Indian Band,Mount Currie,BC,,see Xaxtsa First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Youth Organizations and Resources,,Duke of Edinburgh's Award,Victoria,BC,,,4086 Shelbourne St.,,,V8N 4P6,250-385-4232,,604-682-5543,1-888-881-7788,,250-385-1433,,bcyk@dukeofed.org,,www.dukeofed.org,,,,Vancouver Island/Coast,2,
First Nations,First Nation Communities,,Dzawada'enuxw First Nation,Kingcome Inlet,BC,,Tsawataineuk First Nation,General Delivery,,,V0N 2B0,250-974-3013,,,,,250-974-3005,,postmaster@kingcome.ca,,www.kingcome.ca,,Musgamagw Tsawataineuk Tribal Council,za-wah-day-nook revised to dza-wah-day-noowh,Vancouver Island/Coast,2,636
Services and Agencies,Friendship Centres,,Dze L K'ant Friendship Centre Society,Smithers,BC,Head Office,,PO Box 2920,1188 Main St.,,V0J 2N0,250-847-5211,,,,,250-847-5144,,info@dzelkant.com,,,,Houston Friendship Centre,zel-kant,Nechako,8,
Services and Agencies,Friendship Centres,,Dze L K'ant Friendship Centre Society,Houston,BC,Houston Program Office,,PO Box 2920 Smithers,3383 11th St.,,V0J 2N0,250-845-2131,,,,,250-845-2136,,aecdhouston@gmail.com,,,,,zel-kant,Nechako,8,
Services and Agencies,Education,,Eagles Nest Aboriginal Head Start Preschool,Vancouver,BC,,,618 East Hastings St.,,,V6A 1R1,604-253-3354,,,,,604-253-3440,,coordinator@en.acc-society.bc.ca,,www.acc-society.bc.ca,,BC Aboriginal Child Care Society,,Mainland/Southwest,3,
First Nations,First Nation Communities,,Ehattesaht First Nation,Zeballos,BC,,,PO Box 59,11 Hhen-Kous Pl,,V0P 2A0,250-761-4155,,,,,250-761-4156,,,,www.ehattesaht.com,,Nuu-chah-nulth Tribal Council,ee-hat-a-sut,Vancouver Island/Coast,2,634
Métis,Métis Nation British Columbia and Chartered Communities,,Elk Valley Métis Association ,Fernie,BC,Kootenays,,Box 933,,,V0B 1M0,250-423-4833,,,1-800-940-1150,,,,jeanhsulzer@gmail.com,reception@mnbc.ca,https://www.mnbc.ca/,,Metis Nation British Columbia; School District #5; Ktunaxa Nation,may-tee,Kootenay,5,
Services and Agencies,Arts and Culture,,En'owkin Centre,Penticton,BC,,Okanagan Indian Educational Resources Society,"RR2 Site 50 Comp 8, Lot 45, Green Mountain Rd.",154 Enowkin Way ,,V2A 6J7,250-493-7181,,,,,250-493-5302,,enowkin@vip.net,,www.enowkincentre.ca,,"Okanagan Nation, Okanagan Indian Educational Resources Society",en-ow-kin,Thompson/Okanagan,4,
Services and Agencies,Education,,En'owkin Centre,Penticton,BC,,Okanagan Indian Educational Resources Society,"RR2 Site 50 Comp 8, Lot 45 Green Mountain Rd.",154 Enowkin Way ,,V2A 6J7,250-493-7181,,,,,250-493-5302,,enowkin@vip.net,,www.enowkincentre.ca,,"Okanagan Nation, Okanagan Indian Educational Resources Society",en-ow-kin,Thompson/Okanagan,4,
Services and Agencies,Legal Services,Restorative Justice,En'owkin Centre,Penticton,BC,South Okanagan Restorative Justice Program,Okanagan Indian Educational Resources Society,"RR2 Site 50 Comp 8, Lot 45, Green Mountain Rd.",154 Enowkin Way ,,V2A 6J7,250-493-7181,ext . 217,,,,250-493-1133,,justicecoordinator@vip.net,,www.enowkincentre.ca,,"Okanagan Nation, Okanagan Indian Educational Resources Society",en-ow-kin,Thompson/Okanagan,4,
First Nations,First Nation Communities,,Esk'etemc,Alkali Lake,BC,,Alkali Lake Indian Band,PO Box 157,"1003 Esket Dr, Alkali Lake, BC V0L 1B0",,V0L 1B0,250-440-5611,,,1-866-440-5611,,,,rrobbins@esketemc.ca,,www.esketemc.org,,,ess-ke-tem,Cariboo,6,711
Services and Agencies,Legal Services,Restorative Justice,Esk'etemc,Williams Lake,BC,Esketemc Restorative Justice Program,Alkali Lake Indian Band,PO Box 4479,"1003 Esket Dr., Alkali Lake, BC V0L 1B0",,V2G 2V5,250-440-5611,ext. 202,,1-866-440-5611,,250-5721,,managingdirector@esketemc.ca,,www.esketemc.org,,,ess-ke-tem,Cariboo,6,
First Nations,First Nation Communities,,Esquimalt Nation,Victoria,BC,,,1189 Kosapsum Cres.,,,V9A 7K7,250-381-7861,,,,,250-384-9309,,,,www.esquimaltnation.ca,,,es-kwai-malt,Vancouver Island/Coast,2,644
Services and Agencies,Family and Youth Services,,Federation of Aboriginal Foster Parents,Vancouver,BC,,,3455 Kaslo St.,,,V5M 3H4,604-291-7091,,,1-866-291-7091,,604-291-7098,,info@fafp.ca,,www.fafp.ca,,,,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,First Nations Child & Family Caring Society of Canada,Ottawa,ON,National Organization,,401 – 309 Cooper St.,,,K2P 0G5,613-230-5885,,,,,613-230-3080,,info@fncaringsociety.com,,www.fncaringsociety.com,,,,Out of Province,10,
Services and Agencies,Communications and Media,,First Nations Drum,Vancouver,BC,,,325 101 - 1001 West Broadway St.,,,V6H 4E4,604-669-5582,,,,,604-669-5539,,editor@firstnationsdrum.com,firstnationsdrum@shaw.ca,www.firstnationsdrum.com,,,,Mainland/Southwest,3,
Services and Agencies,Education,,First Nations Education Steering Committee (FNESC),West Vancouver,BC,,,113 - 100 Park Royal South,,,V7T 1A2,604-925-6087,,,1-877-422-3672,,604-925-6097,,info@fnesc.ca,,www.fnesc.ca,,First Nations School Association (FNSA),,Mainland/Southwest,3,
Services and Agencies,Arts and Culture,,First Nations Educational Foundation,Vancouver,BC,,,420 - 609 Granville St.,,,V7Y 1G5,604-340-5170,,,,,,,Scott.jeary@FNEF.ca,,www.FNEF.ca,,,,Mainland/Southwest,3,
Services and Agencies,Child and Family Services Agencies,,First Nations Educational Foundation,Vancouver,BC,,,420 - 609 Granville St.,,,V7Y 1G5,604-340-5170,,,,,,,Scott.jeary@FNEF.ca,,www.FNEF.ca,,,,Mainland/Southwest,3,
Services and Agencies,Education,,First Nations Educational Foundation,Vancouver,BC,,,420 - 609 Granville St.,,,V7Y 1G5,604-340-5170,,,,,,,Scott.jeary@FNEF.ca,,www.FNEF.ca,,,,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,First Nations Educational Foundation,Vancouver,BC,,,420 - 609 Granville St.,,,V7Y 1G5,604-340-5170,,,,,,,Scott.jeary@FNEF.ca,,www.FNEF.ca,,,,Mainland/Southwest,3,
Services and Agencies,Languages,,First Nations Educational Foundation,Vancouver,BC,,,420 - 609 Granville St.,,,V7Y 1G5,604-340-5170,,,,,,,Scott.jeary@FNEF.ca,,www.FNEF.ca,,,,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,First Nations Educational Foundation,Vancouver,BC,,,420 - 609 Granville St.,,,V7Y 1G5,604-340-5170,,,,,,,Scott.jeary@FNEF.ca,,www.FNEF.ca,,,,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,,First Nations Educational Foundation,Vancouver,BC,,,420 - 609 Granville St.,,,V7Y 1G5,604-340-5170,,,,,,,Scott.jeary@FNEF.ca,,www.FNEF.ca,,,,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,First Nations Emergency Services Society of BC,North Vancouver,BC,,,102-70 Orwell St.,,,V7J 3R5,604-669-7305,,,1-888-822-3388,,604-669-9832,,info@fness.bc.ca,,www.fness.bc.ca,,,,Mainland/Southwest,3,
Services and Agencies,"Employment, Job Search and Placement",,First Nations Employment Services,Vernon,BC,Vernon,,2904 29th Ave.,,,V1T 1Y7,250-558-3345,,,,,250-558-5321,,fnesvernon@shawbiz.ca,,,,First Nations Friendship Centre,,Thompson/Okanagan,4,
Services and Agencies,Business and Economic Development,,First Nations Energy and Mining Council,West Vancouver,BC,,,618 - 100 Park Royal South,,,V7T 1A2,604-921-2014,,,,,604-921-4401,,joanna.prince@fnemc.ca,,www.fnemc.ca,,,,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,First Nations Energy and Mining Council,West Vancouver,BC,,,618 - 100 Park Royal South,,,V7T 1A2,604-921-2014,,,,,604-921-4401,,joanna.prince@fnemc.ca,,www.fnemc.ca,,,,Mainland/Southwest,3,
Services and Agencies,Business and Economic Development,,First Nations Fisheries Council of BC,Vancouver,BC,,,320-1200 West 73rd Ave.,,,V6P 6G5,778-379-6470,,,,,778-379-6469,,info@fnfisheriescouncil.ca,,www.fnfisheriescouncil.ca,,,,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,First Nations Fisheries Council of BC,Vancouver,BC,,,320-1200 West 73rd Ave.,,,V6P 6G5,778-379-6470,,,,,778-379-6469,,info@fnfisheriescouncil.ca,,www.fnfisheriescouncil.ca,,,,Mainland/Southwest,3,
Services and Agencies,Business and Economic Development,,First Nations Forestry Council,West Vancouver,BC,,,618 - 100 Park Royal South,,,V7T 1A2,604-921-4488,,,,,604-921-4401,,fnforestrycouncil@gmail.com,,www.fnforestrycouncil.ca,,,,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,First Nations Friendship Centre,Vernon,BC,Family Support Worker,,2904 29th Ave.,,,V1T 1Y7,250-542-1247,,,,,250-542-3707,,famsupfnfc@shawcable.com,,http://www.vernonfirstnationsfriendshipcentre.com/,,,,Thompson/Okanagan,4,
Services and Agencies,Friendship Centres,,First Nations Friendship Centre,Vernon,BC,,,2904 29th Ave.,,,V1T 1Y7,250-542-1247,,,,,250-542-3707,,fnfc@shawcable.com,,http://www.vernonfirstnationsfriendshipcentre.com/,,,,Thompson/Okanagan,4,
Services and Agencies,Treatment and Healing Services,Non-Residential,First Nations Friendship Centre,Vernon,BC,Addictions Program,,2904 29th Ave.,,,V1T 1Y7,250-542-5311,,,,,250-542-4668,,fnfcad@shawcable.com,,http://www.vernonfirstnationsfriendshipcentre.com/,,,,Thompson/Okanagan,4,
Services and Agencies,Health Services,,First Nations Health Authority,West Vancouver,BC,,,1205 - 100 Park Royal South,,,V7T 1A2,604-913-2080,,,1-866-913-0033,,604-913-2081,,,,www.fnhc.ca,,,,Mainland/Southwest,3,
Services and Agencies,Education,,First Nations House of Learning,Vancouver,BC,,,1985 West Mall,,,V6T 1Z2,604-822-8940,,,,,604-822-8944,,fnhl.clerk@ubc.ca,,www.longhouse.ubc.ca,,,,Mainland/Southwest,3,
Services and Agencies,Education,,First Nations Schools Association,West Vancouver,BC,,,113 - 100 Park Royal South,,,V7T 1A2,604-925-6087,,,1-877-422-3672,,604-925-6097,,fnsa@fnesc.ca,,www.fnsa.ca,,First Nations Education Steering Committee (FNESC),,Mainland/Southwest,3,
Umbrella Organizations,Provincial/Umbrella Organizations,,First Nations Summit,West Vancouver,BC,,,Suite 1200 - 100 Park Royal South ,,,V7T 1A2,604-926-9903,,,1-866-990-9939,,604-926-9923,,info@fns.bc.ca,,www.fns.bc.ca,,,,Mainland/Southwest,3,
Services and Agencies,Business and Economic Development,,First Nations Tax Commission,Kamloops,BC,,Commission de la fiscalité des premières nations,321 – 345 Chief Alex Thomas Way,,,V2H 1H1,250-828-9857,,,,,250-828-9858,,mail@fntc.ca,,www.fntc.ca,,,,Thompson/Okanagan,4,
Services and Agencies,Business and Economic Development,,First Nations Technology Council,North Vancouver,BC,,,102-70 Orwell St.,,,V7J 3R5,604-921-9939,,,1-888-921-9939,,604-921-9979,,info@fntc.info,,www.technologycouncil.ca,www.fnbc.info,"First Nations Summit, Union of BC Indian Chiefs, BC Assembly of First Nations",,Mainland/Southwest,3,
Services and Agencies,Arts and Culture,,First Peoples' Cultural Council (FPCC),Brentwood Bay,BC,,"First Peoples' Heritage, Language and Culture Council",1A Boat Ramp Rd.,,,V8M 1N9,250-652-5952,,,,,250-652-5953,,info@fpcc.ca,,http://www.fpcc.ca/,www.firstvoices.com,First Peoples' Cultural Foundation (FPCF),,Vancouver Island/Coast,2,
Services and Agencies,Languages,,First Peoples' Cultural Council (FPCC),Brentwood Bay,BC,,"First Peoples' Heritage, Language and Culture Council",1A Boat Ramp Rd.,,,V8M 1N9,250-652-5952,,,,,250-652-5953,,info@fpcc.ca,,http://www.fpcc.ca/,www.firstvoices.com,First Peoples' Cultural Foundation (FPCF),,Vancouver Island/Coast,2,
Services and Agencies,Arts and Culture,,First Peoples' Cultural Foundation,Brentwood Bay,BC,,,1A Boat Ramp Rd.,,,V8M 1N9,250-652-5952,,,,,250-652-5953,,info@fpcf.ca,,www.firstvoices.com,www.fpcf.ca,"First Peoples' Cultural Council (a.k.a. First Peoples' Heritage, Language and Culture Council)",,Vancouver Island/Coast,2,
Services and Agencies,Business and Economic Development,,First Peoples' Cultural Foundation,Brentwood Bay,BC,,,1A Boat Ramp Rd.,,,V8M 1N9,250-652-5952,,,,,250-652-5953,,info@fpcf.ca,,www.firstvoices.com,www.fpcf.ca,"First Peoples' Cultural Council (a.k.a. First Peoples' Heritage, Language and Culture Council)",,Vancouver Island/Coast,2,
Services and Agencies,Languages,,First Peoples' Cultural Foundation,Brentwood Bay,BC,,,1A Boat Ramp Rd.,,,V8M 1N9,250-652-5952,,,,,250-652-5953,,info@fpcf.ca,,www.firstvoices.com,www.fpcf.ca,"First Peoples' Cultural Council (a.k.a. First Peoples' Heritage, Language and Culture Council)",,Vancouver Island/Coast,2,
Services and Agencies,"Employment, Job Search and Placement",,Footprints to Technology (Disability Services),Penticton,BC,,,190 Footprints Crt.,,,V2A 0E1,250-492-5289,,,,,250-492-5239,,mrollins@pib.ca,tterbasket@pib.ca,www.footprintstotechnology.com,,"Penticton Indian Band, Neil Squire Society",,Thompson/Okanagan,4,
Services and Agencies,Health Services,,Footprints to Technology (Disability Services),Penticton,BC,,,190 Footprints Crt.,,,V2A 0E1,250-492-5289,,,,,250-492-5239,,mrollins@pib.ca,tterbasket@pib.ca,www.footprintstotechnology.com,,"Penticton Indian Band, Neil Squire Society",,Thompson/Okanagan,4,
Previous Name,First Nation Communities,,Fort Langley Band,Fort Langley,BC,,see Kwantlen First Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Friendship Centres,,Fort Nelson Aboriginal Friendship Society,Fort Nelson,BC,,,PO Box 1266,5012 49th St.,,V0C 1R0,250-774-2993,,,,,250-774-2998,,,,http://www.fnafs.org/,,BC Association of Aboriginal Friendship Centres,,Northeast,9,
Services and Agencies,Housing Services,Emergency/Transition,Fort Nelson Aboriginal Friendship Society,Fort Nelson,BC,FNAFS Women's Transition House,,PO Box 1266,,,V0C 1R0,250-774-4742,,,,,,,,,http://www.fnafs.org/,,,,Northeast,9,
Services and Agencies,Housing Services,Emergency/Transition,Fort Nelson Aboriginal Friendship Society,Fort Nelson,BC,Men's Shelter,,PO Box 1266,,,V0C 1R0,250-774-4742,,,,,,,,,http://www.fnafs.org/,,,,Northeast,9,
Services and Agencies,"Employment, Job Search and Placement",,Fort Nelson Employment Services,Fort Nelson,BC,,,PO Box 34,5012 49th Ave.,,V0C 1R0,250-774-3114,,,,,250-774-3768,,fnemployment@northwestel.net,,www.fortnelsonemployment.ca,,,,Northeast,9,
First Nations,First Nation Communities,,Fort Nelson First Nation,Fort Nelson,BC,,,"Mile 295 Alaska Hwy, RR 1",,,V0C 1R0,250-774-7257,,,,,250-774-7260,,,,http://www.fortnelsonfirstnation.org/,,Treaty 8 Tribal Association,,Northeast,9,543
Métis,Métis Organizations,,Fort Nelson Métis Society,Fort Nelson,BC,,,Box 1302,,,V0C 1R0,,,,1-800-940-1150,,,,reception@mnbc.ca,,,,Metis Nation British Columbia,may-tee,Northeast,9,
Services and Agencies,Arts and Culture,,Fort St. John Friendship Society,Fort St. John,BC,,,10208 95th Ave.,,,V1J 1J2,250-785-8566,,,,,250-785-1507,,friendship@bluenova.ca,,,,,,Northeast,9,
Services and Agencies,Friendship Centres,,Fort St. John Friendship Society,Fort St. John,BC,,,10208 95th Ave.,,,V1J 1J2,250-785-8566,,,,,250-785-1507,,friendship@bluenova.ca,,,,,,Northeast,9,
Services and Agencies,Treatment and Healing Services,Non-Residential,Fort St. John Friendship Society,Fort St. John,BC,,,10208 95th Ave.,,,V1J 1J2,250-785-8566,,,,,250-785-1507,,friendship@bluenova.ca,,,,,,Northeast,9,
Métis,Métis Nation British Columbia and Chartered Communities,,Fort St. John Métis Society,Ft. St. John,BC,Northeast,,102-10142 101 Ave.,,,V1J 2B3,250-785-1541,,,1-800-940-1150,,,,fsjmetis@telus.net,reception@mnbc.ca,http://fsjmetis.wixsite.com/fortstjohnmetis ,,Metis Nation British Columbia,,Northeast,9,
Métis,Métis Organizations,,Fort St. John Métis Society,Fort St. John,BC,,,"102, 10142- 101 Ave.",,,V1J 2B3,250-785-1541,,,,,,,fsjmetis@telus.net,,http://fsjmetis.wixsite.com/fortstjohnmetis ,,Metis Nation British Columbia,may-tee,Northeast,9,
Previous Name,First Nation Communities,,Fort Ware Indian Band,Prince George,BC,,see Kwadacha Nation,,,,,,,,,,,,,,,,,,Unassigned,1,
Previous Name,First Nation Communities,,Fountain Band,Lillooet,BC,,see Xaxli'p Band,,,,,,,,,,,,,,,,,,Unassigned,1,
Services and Agencies,Arts and Culture,,Fraser Region Aboriginal Friendship Centre Association,Surrey,BC,,,A101 - 10095 Whalley Blvd.,,,V3T 4G1,604-595-1170,,,,,604-595-1176,,reception@frafca.org,,http://frafca.org/,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres, Metro Vancouver Aboriginal Executive Committee",,Mainland/Southwest,3,
Services and Agencies,Child and Family Services Agencies,Urban Aboriginal Child and Family Services Agencies,Fraser Region Aboriginal Friendship Centre Association,Surrey,BC,,,A101 - 10095 Whalley Blvd.,,,V3T 4G1,604-595-1170,,,,,604-595-1176,,reception@frafca.org,,http://frafca.org/,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres, Metro Vancouver Aboriginal Executive Committee",,Mainland/Southwest,3,
Services and Agencies,Education,,Fraser Region Aboriginal Friendship Centre Association,Surrey,BC,,,A101 - 10095 Whalley Blvd.,,,V3T 4G1,604-595-1170,,,,,604-595-1176,,reception@frafca.org,,http://frafca.org/,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres, Metro Vancouver Aboriginal Executive Committee",,Mainland/Southwest,3,
Services and Agencies,Family and Youth Services,,Fraser Region Aboriginal Friendship Centre Association,Surrey,BC,,,A101 - 10095 Whalley Blvd.,,,V3T 4G1,604-595-1170,,,,,604-595-1176,,reception@frafca.org,,http://frafca.org/,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres, Metro Vancouver Aboriginal Executive Committee",,Mainland/Southwest,3,
Services and Agencies,Friendship Centres,,Fraser Region Aboriginal Friendship Centre Association,Surrey,BC,,,A101 - 10095 Whalley Blvd.,,,V3T 4G1,604-595-1170,,,,,604-595-1176,,reception@frafca.org,,http://frafca.org/,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres, Metro Vancouver Aboriginal Executive Committee",,Mainland/Southwest,3,
Services and Agencies,Health Services,,Fraser Region Aboriginal Friendship Centre Association,Surrey,BC,,,A101 - 10095 Whalley Blvd.,,,V3T 4G1,604-595-1170,,,,,604-595-1176,,reception@frafca.org,,http://frafca.org/,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres, Metro Vancouver Aboriginal Executive Committee",,Mainland/Southwest,3,
Services and Agencies,Housing Services,Emergency/Transition,Fraser Region Aboriginal Friendship Centre Association,Surrey,BC,Youth Shelter,,A101 - 10095 Whalley Blvd.,,,V3T 4G1,604-595-1170,,,,,604-595-1176,,reception@frafca.org,,http://frafca.org/,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres, Metro Vancouver Aboriginal Executive Committee",,Mainland/Southwest,3,
Services and Agencies,Youth Organizations and Resources,,Fraser Region Aboriginal Friendship Centre Association,Surrey,BC,,,A101 - 10095 Whalley Blvd.,,,V3T 4G1,604-595-1170,,,,,604-595-1176,,reception@frafca.org,,http://frafca.org/,,"BC Association of Aboriginal Friendship Centres, National Association of Aboriginal Friendship Centres, Metro Vancouver Aboriginal Executive Committee",,Mainland/Southwest,3,
Métis,Métis Nation British Columbia and Chartered Communities,,Fraser Valley Métis Association,Abbotsford,BC,Lower Mainland,,"321 - 33771 George Ferguson Way, Box 8000",,,V2S 2M5,,,,1-800-940-1150,,,,info@fvma.ca,reception@mnbc.ca,www.fvma.ca,,Metis Nation British Columbia,may-tee,Mainland/Southwest,3,
Services and Agencies,Friendship Centres,,Friendship House Association of Prince Rupert,Prince Rupert,BC,,,744 Fraser St.,,,V8J 1P9,250-627-1717,,,,,250-627-7533,,,,http://friendshiphouse.ca,,,,North Coast,7,
Services and Agencies,Education,,Future 4 Nations Aboriginal Head Start,Mission,BC,,,PO Box 3563,34110 Lougheed Hwy.,,V2V 4L1,604-820-4567,,,,,604-820-1345,,coordinator@f4n.ca,,,,Aboriginal Head Start Association of BC,,Mainland/Southwest,3,
